"ACTIVITY" "PERSON" "AVERAGE"
"67" "WALKING" 1 1.256622
"68" "WALKING" 1 1.063999
"69" "WALKING" 1 0.6767296
"70" "WALKING" 1 0.847616
"71" "WALKING" 1 0.8608408
"72" "WALKING" 1 1.375439
"73" "WALKING" 1 1.373434
"74" "WALKING" 1 0.9862559
"75" "WALKING" 1 0.8641092
"76" "WALKING" 1 1.028721
"77" "WALKING" 1 1.00259
"78" "WALKING" 1 1.104458
"79" "WALKING" 1 1.078473
"80" "WALKING" 1 0.8673483
"81" "WALKING" 1 0.6864521
"82" "WALKING" 1 0.8435252
"83" "WALKING" 1 0.5472056
"84" "WALKING" 1 0.889384
"85" "WALKING" 1 0.8368064
"86" "WALKING" 1 0.9636802
"87" "WALKING" 1 1.016332
"88" "WALKING" 1 1.114895
"89" "WALKING" 1 0.8523719
"90" "WALKING" 1 1.139684
"91" "WALKING" 1 0.6682581
"92" "WALKING" 1 0.8829528
"93" "WALKING" 1 1.335823
"94" "WALKING" 1 0.581323
"95" "WALKING" 1 0.9088732
"96" "WALKING" 1 0.3767984
"97" "WALKING" 1 0.4233671
"98" "WALKING" 1 0.01478672
"99" "WALKING" 1 -0.01821778
"100" "WALKING" 1 0.2107393
"101" "WALKING" 1 0.3872771
"102" "WALKING" 1 -0.2745823
"103" "WALKING" 1 0.4497344
"104" "WALKING" 1 0.04793232
"105" "WALKING" 1 0.2592785
"106" "WALKING" 1 -0.2173313
"107" "WALKING" 1 -0.1301071
"108" "WALKING" 1 0.1542649
"109" "WALKING" 1 0.4794856
"110" "WALKING" 1 -0.3274763
"111" "WALKING" 1 0.3909612
"112" "WALKING" 1 -0.1883779
"113" "WALKING" 1 -0.1036896
"114" "WALKING" 1 0.3291536
"115" "WALKING" 1 0.3992521
"116" "WALKING" 1 -0.0438269
"117" "WALKING" 1 -0.007064202
"118" "WALKING" 1 -0.4592456
"119" "WALKING" 1 0.4035306
"120" "WALKING" 1 -0.247538
"121" "WALKING" 1 -0.01138415
"122" "WALKING" 1 -0.07214709
"123" "WALKING" 1 -0.2608926
"124" "WALKING" 1 -0.1735265
"125" "WALKING" 1 0.2718456
"126" "WALKING" 1 -0.2975973
"127" "WALKING" 1 0.03651509
"128" "WALKING" 1 -0.0811849
"129" "WALKING" 1 -0.3769543
"130" "WALKING" 1 0.2711086
"131" "WALKING" 1 -0.3108749
"132" "WALKING" 1 0.1270183
"133" "WALKING" 1 0.4249666
"134" "WALKING" 1 -0.3330425
"135" "WALKING" 1 0.09202837
"136" "WALKING" 1 -0.2906388
"137" "WALKING" 1 -0.1932741
"138" "WALKING" 1 -0.07524616
"139" "WALKING" 1 0.02782659
"140" "WALKING" 1 0.1336121
"141" "WALKING" 1 0.3563197
"142" "WALKING" 1 -0.1747875
"143" "WALKING" 1 -0.2544538
"144" "WALKING" 1 -0.1402329
"145" "WALKING" 1 -0.1378208
"146" "WALKING" 1 0.4175904
"147" "WALKING" 1 0.4371642
"148" "WALKING" 1 -0.00167046
"149" "WALKING" 1 -0.2259331
"150" "WALKING" 1 0.006711982
"151" "WALKING" 1 -0.05572316
"152" "WALKING" 1 0.01033651
"153" "WALKING" 1 -0.08632896
"154" "WALKING" 1 0.2536232
"155" "WALKING" 1 -0.3034329
"156" "WALKING" 1 -0.1726987
"157" "WALKING" 1 0.2332373
"158" "WALKING" 1 -0.2990225
"159" "WALKING" 1 -0.2684269
"160" "WALKING" 1 -0.009629909
"161" "WALKING" 1 -0.01068697
"162" "WALKING" 1 0.2579295
"163" "WALKING" 1 0.07165725
"164" "WALKING" 1 -0.3195421
"165" "WALKING" 1 -0.1297792
"166" "WALKING" 1 -0.1026094
"167" "WALKING" 1 0.4005947
"168" "WALKING" 1 0.3918552
"169" "WALKING" 1 0.005568597
"170" "WALKING" 1 -0.1292102
"171" "WALKING" 1 0.03562565
"172" "WALKING" 1 0.001695996
"173" "WALKING" 1 0.1232184
"174" "WALKING" 1 0.09204571
"175" "WALKING" 1 -0.1206641
"176" "WALKING" 1 -0.3071465
"177" "WALKING" 1 -0.1488886
"178" "WALKING" 1 -0.445901
"179" "WALKING" 1 -0.09921038
"180" "WALKING" 1 -0.1555497
"181" "WALKING" 1 -0.03168197
"182" "WALKING" 1 0.0220301
"183" "WALKING" 1 0.1105783
"184" "WALKING" 1 -0.1389168
"185" "WALKING" 1 0.1573631
"186" "WALKING" 1 -0.3127455
"187" "WALKING" 1 -0.1126488
"188" "WALKING" 1 0.3442832
"189" "WALKING" 1 -0.4001702
"190" "WALKING" 1 -0.08531726
"191" "WALKING" 1 -0.5624105
"192" "WALKING" 1 -0.0637749
"193" "WALKING" 1 0.2973856
"194" "WALKING" 1 0.619784
"195" "WALKING" 1 0.007297921
"196" "WALKING" 1 0.3146919
"197" "WALKING" 1 0.1082434
"198" "WALKING" 1 -0.2311236
"199" "WALKING" 1 -0.6945567
"200" "WALKING" 1 -0.1807524
"201" "WALKING" 1 -0.1017431
"202" "WALKING" 1 0.5889628
"203" "WALKING" 1 0.5384794
"204" "WALKING" 1 0.3906553
"205" "WALKING" 1 0.3843442
"206" "WALKING" 1 0.4408366
"207" "WALKING" 1 0.4035791
"208" "WALKING" 1 0.05258237
"209" "WALKING" 1 -0.4847771
"210" "WALKING" 1 0.5539928
"211" "WALKING" 1 0.4843913
"212" "WALKING" 1 -0.1307578
"213" "WALKING" 1 -0.00739347
"214" "WALKING" 1 -0.2956882
"215" "WALKING" 1 0.0954739999999999
"216" "WALKING" 1 -0.1108181
"217" "WALKING" 1 -0.9418672
"218" "WALKING" 1 -0.684991
"219" "WALKING" 1 0.1573029
"220" "WALKING" 1 0.5888287
"221" "WALKING" 1 0.2288202
"222" "WALKING" 1 0.3101093
"223" "WALKING" 1 -0.843987
"224" "WALKING" 1 -0.318455
"225" "WALKING" 1 0.363778
"226" "WALKING" 1 0.1450191
"227" "WALKING" 1 0.2358032
"228" "WALKING" 1 0.3716342
"229" "WALKING" 1 0.0748057
"230" "WALKING" 1 -0.04998371
"231" "WALKING" 1 0.9127537
"232" "WALKING" 1 0.4661956
"233" "WALKING" 1 0.1335415
"234" "WALKING" 1 0.2326901
"235" "WALKING" 1 -0.6212596
"236" "WALKING" 1 0.9186713
"237" "WALKING" 1 -0.7938213
"238" "WALKING" 1 0.05574956
"239" "WALKING" 1 0.1382616
"240" "WALKING" 1 0.06959341
"241" "WALKING" 1 -0.1293124
"242" "WALKING" 1 0.5719319
"243" "WALKING" 1 -0.6697713
"244" "WALKING" 1 0.1395265
"245" "WALKING" 1 0.332343
"246" "WALKING" 1 -0.1889425
"247" "WALKING" 1 0.2041055
"248" "WALKING" 1 -0.872356
"249" "WALKING" 1 0.09009169
"250" "WALKING" 1 -0.1090058
"251" "WALKING" 1 -0.06205185
"252" "WALKING" 1 -0.5460751
"253" "WALKING" 1 0.4155107
"254" "WALKING" 1 -0.01073402
"255" "WALKING" 1 0.3177196
"256" "WALKING" 1 0.1870178
"257" "WALKING" 1 0.5008252
"258" "WALKING" 1 0.2118923
"259" "WALKING" 1 -0.7397417
"260" "WALKING" 1 -0.1394709
"261" "WALKING" 1 -0.04668071
"262" "WALKING" 1 -0.2948411
"263" "WALKING" 1 0.579661
"264" "WALKING" 1 -0.6805033
"265" "WALKING" 1 0.4008286
"266" "WALKING" 1 0.27532
"267" "WALKING" 1 0.2499542
"268" "WALKING" 1 -1.00125
"269" "WALKING" 1 0.3152063
"270" "WALKING" 1 -0.7474487
"271" "WALKING" 1 -0.1796184
"272" "WALKING" 1 -0.6597324
"273" "WALKING" 1 -0.3067596
"274" "WALKING" 1 -0.5384948
"275" "WALKING" 1 0.4673181
"276" "WALKING" 1 0.2655126
"277" "WALKING" 1 0.1608367
"278" "WALKING" 1 0.2290747
"279" "WALKING" 1 -1.168628
"280" "WALKING" 1 0.4265703
"281" "WALKING" 1 -0.105938
"282" "WALKING" 1 0.1908146
"283" "WALKING" 1 -0.2023648
"284" "WALKING" 1 0.3454604
"285" "WALKING" 1 0.1664032
"286" "WALKING" 1 -0.3367674
"287" "WALKING" 1 -0.3624851
"288" "WALKING" 1 -0.4693631
"289" "WALKING" 1 -0.03720683
"290" "WALKING" 1 -0.04487971
"291" "WALKING" 1 -0.5231748
"292" "WALKING" 1 -0.1775771
"293" "WALKING" 1 -0.272045
"294" "WALKING" 1 -0.2248275
"295" "WALKING" 1 -0.07298541
"296" "WALKING" 1 -0.18287
"297" "WALKING" 1 -0.1306799
"298" "WALKING" 1 -0.2337802
"299" "WALKING" 1 -0.5457145
"300" "WALKING" 1 -0.2273353
"301" "WALKING" 1 -0.4928397
"302" "WALKING" 1 -0.489243
"303" "WALKING" 1 -0.02035755
"304" "WALKING" 1 -0.111911
"305" "WALKING" 1 -0.3852603
"306" "WALKING" 1 0.009214516
"307" "WALKING" 1 -0.5871086
"308" "WALKING" 1 -0.1726811
"309" "WALKING" 1 -0.1574254
"310" "WALKING" 1 -0.4909176
"311" "WALKING" 1 -0.3003846
"312" "WALKING" 1 -0.601567
"313" "WALKING" 1 -0.1051523
"314" "WALKING" 1 -0.122333
"315" "WALKING" 1 -0.454383
"316" "WALKING" 1 -0.324355
"317" "WALKING" 1 -0.2177459
"318" "WALKING" 1 -0.3617237
"319" "WALKING" 1 -0.1220219
"320" "WALKING" 1 -0.8677109
"321" "WALKING" 1 -0.197153
"322" "WALKING" 1 -0.2867148
"323" "WALKING" 1 -0.6149622
"324" "WALKING" 1 -0.2732637
"325" "WALKING" 1 -0.166146
"326" "WALKING" 1 -0.3739569
"327" "WALKING" 1 -0.3622291
"328" "WALKING" 1 -0.004114891
"329" "WALKING" 1 -0.1627636
"330" "WALKING" 1 -0.1454797
"331" "WALKING" 1 -0.49635
"332" "WALKING" 1 -0.1988973
"333" "WALKING" 1 -0.1934245
"334" "WALKING" 1 -0.2117668
"335" "WALKING" 1 -0.1640107
"336" "WALKING" 1 -0.1158134
"337" "WALKING" 1 -0.6602752
"338" "WALKING" 1 -0.2791764
"339" "WALKING" 1 -0.4717604
"340" "WALKING" 1 -0.2552899
"341" "WALKING" 1 -0.2392852
"342" "WALKING" 1 -0.3491349
"343" "WALKING" 1 -0.5449761
"344" "WALKING" 1 -0.2701066
"345" "WALKING" 1 -0.2758834
"346" "WALKING" 1 -0.1487096
"347" "WALKING" 1 0.03753398
"348" "WALKING" 1 -0.49721
"349" "WALKING" 1 -0.5461574
"350" "WALKING" 1 -0.01842442
"351" "WALKING" 1 -0.1832461
"352" "WALKING" 1 -0.1568133
"353" "WALKING" 1 -0.8011985
"354" "WALKING" 1 -0.3521123
"355" "WALKING" 1 -0.152897
"356" "WALKING" 1 -0.1150533
"357" "WALKING" 1 -0.1117665
"358" "WALKING" 1 -0.946726
"359" "WALKING" 1 -0.368845
"360" "WALKING" 1 -0.2182521
"361" "WALKING" 1 -0.2266012
"362" "WALKING" 1 -0.1920763
"363" "WALKING" 1 -0.2055725
"364" "WALKING" 1 -0.7636477
"365" "WALKING" 1 -0.1231296
"366" "WALKING" 1 -0.2700769
"367" "WALKING" 1 -0.3373856
"368" "WALKING" 1 -0.1801078
"369" "WALKING" 1 -0.4452382
"370" "WALKING" 1 -0.2431662
"371" "WALKING" 1 -0.0758264
"372" "WALKING" 1 -0.1383654
"373" "WALKING" 1 -0.3508131
"374" "WALKING" 1 -0.4059195
"375" "WALKING" 1 -0.1444574
"376" "WALKING" 1 -0.3409344
"377" "WALKING" 1 -0.1295786
"378" "WALKING" 1 -0.05588256
"379" "WALKING" 1 -0.397483
"380" "WALKING" 1 -0.5453999
"381" "WALKING" 1 -0.07615856
"382" "WALKING" 1 -0.1470592
"383" "WALKING" 1 -0.2385266
"384" "WALKING" 1 0.2190489
"385" "WALKING" 1 0.1901077
"386" "WALKING" 1 -0.2824361
"387" "WALKING" 1 0.06053954
"388" "WALKING" 1 -0.04633777
"389" "WALKING" 1 0.05319023
"390" "WALKING" 1 0.1626569
"391" "WALKING" 1 0.0553407
"392" "WALKING" 1 0.1043002
"393" "WALKING" 1 0.004423428
"394" "WALKING" 1 -0.3075442
"395" "WALKING" 1 0.02089467
"396" "WALKING" 1 -0.2407646
"397" "WALKING" 1 -0.255066
"398" "WALKING" 1 0.2188895
"399" "WALKING" 1 0.1215779
"400" "WALKING" 1 -0.1568419
"401" "WALKING" 1 0.2478349
"402" "WALKING" 1 -0.3412352
"403" "WALKING" 1 0.06916059
"404" "WALKING" 1 0.09658208
"405" "WALKING" 1 -0.2431308
"406" "WALKING" 1 -0.04944747
"407" "WALKING" 1 -0.3475387
"408" "WALKING" 1 0.1340021
"409" "WALKING" 1 0.106005
"410" "WALKING" 1 -0.2244725
"411" "WALKING" 1 -0.1036408
"412" "WALKING" 1 0.01737273
"413" "WALKING" 1 -0.1129824
"414" "WALKING" 1 0.1298225
"415" "WALKING" 1 -0.6249113
"416" "WALKING" 1 0.05549086
"417" "WALKING" 1 -0.0360137
"418" "WALKING" 1 -0.3651249
"419" "WALKING" 1 -0.04045761
"420" "WALKING" 1 0.06787398
"421" "WALKING" 1 -0.1415794
"422" "WALKING" 1 -0.1414432
"423" "WALKING" 1 0.2272065
"424" "WALKING" 1 0.07147521
"425" "WALKING" 1 0.0734347
"426" "WALKING" 1 -0.2724177
"427" "WALKING" 1 0.01594474
"428" "WALKING" 1 0.1009654
"429" "WALKING" 1 0.08887635
"430" "WALKING" 1 0.1403302
"431" "WALKING" 1 0.1769741
"432" "WALKING" 1 -0.3613759
"433" "WALKING" 1 0.005683093
"434" "WALKING" 1 -0.193488
"435" "WALKING" 1 0.02890617
"436" "WALKING" 1 0.04060272
"437" "WALKING" 1 -0.06205285
"438" "WALKING" 1 -0.2487231
"439" "WALKING" 1 0.02130718
"440" "WALKING" 1 0.008981709
"441" "WALKING" 1 0.140653
"442" "WALKING" 1 0.3236831
"443" "WALKING" 1 -0.2209332
"444" "WALKING" 1 -0.2785444
"445" "WALKING" 1 0.2621277
"446" "WALKING" 1 0.1060939
"447" "WALKING" 1 0.1290253
"448" "WALKING" 1 -0.5170785
"449" "WALKING" 1 -0.0531015
"450" "WALKING" 1 0.1653601
"451" "WALKING" 1 0.2309266
"452" "WALKING" 1 0.1985347
"453" "WALKING" 1 -0.6382154
"454" "WALKING" 1 -0.07037449
"455" "WALKING" 1 0.0629119
"456" "WALKING" 1 0.06611319
"457" "WALKING" 1 0.1102369
"458" "WALKING" 1 0.08278769
"459" "WALKING" 1 -0.4976896
"460" "WALKING" 1 0.1598314
"461" "WALKING" 1 0.01899819
"462" "WALKING" 1 -0.04840016
"463" "WALKING" 1 0.1101844
"464" "WALKING" 1 -0.1390139
"465" "WALKING" 1 0.05562002
"466" "WALKING" 1 0.2157033
"467" "WALKING" 1 0.1490739
"468" "WALKING" 1 -0.06917514
"469" "WALKING" 1 -0.1161422
"470" "WALKING" 1 0.1356254
"471" "WALKING" 1 -0.05464941
"472" "WALKING" 1 0.1547147
"473" "WALKING" 1 0.229021
"474" "WALKING" 1 -0.1074708
"475" "WALKING" 1 -0.2664808
"476" "WALKING" 1 0.475277
"477" "WALKING" 1 -0.166493
"478" "WALKING" 1 -0.9486616
"479" "WALKING" 1 0.8631713
"480" "WALKING" 1 -0.7943146
"481" "WALKING" 1 1.044715
"482" "WALKING" 1 0.1417462
"483" "WALKING" 1 -0.07028479
"484" "WALKING" 1 0.2901318
"485" "WALKING" 1 0.0745156
"486" "WALKING" 1 -0.559842
"487" "WALKING" 1 0.2848173
"488" "WALKING" 1 0.1102178
"489" "WALKING" 1 1.211411
"490" "WALKING" 1 -0.3783839
"491" "WALKING" 1 0.1046379
"492" "WALKING" 1 -0.8640581
"493" "WALKING" 1 0.1968036
"494" "WALKING" 1 -0.173685
"495" "WALKING" 1 1.15964
"496" "WALKING" 1 -0.2666107
"497" "WALKING" 1 0.3468574
"498" "WALKING" 1 -0.0581493
"499" "WALKING" 1 0.699774
"500" "WALKING" 1 -1.004736
"501" "WALKING" 1 -0.09338435
"502" "WALKING" 1 -1.060968
"503" "WALKING" 1 0.8503282
"504" "WALKING" 1 -0.44042993
"505" "WALKING" 1 0.5316489
"506" "WALKING" 1 -1.003256
"507" "WALKING" 1 0.7876752
"508" "WALKING" 1 -0.567804
"509" "WALKING" 1 0.1103387
"510" "WALKING" 1 0.8263493
"511" "WALKING" 1 -0.2560121
"512" "WALKING" 1 0.2686862
"513" "WALKING" 1 0.762211
"514" "WALKING" 1 0.8686417
"515" "WALKING" 1 -0.3471871
"516" "WALKING" 1 0.4113457
"517" "WALKING" 1 -0.9884802
"518" "WALKING" 1 -0.4006564
"519" "WALKING" 1 0.41899017
"520" "WALKING" 1 -0.0364072
"521" "WALKING" 1 0.854727
"522" "WALKING" 1 1.055261
"523" "WALKING" 1 -0.1088124
"524" "WALKING" 1 0.04588649
"525" "WALKING" 1 -0.5580805
"526" "WALKING" 1 -0.0166424
"527" "WALKING" 1 0.7248633
"528" "WALKING" 1 -0.7109385
"529" "WALKING" 1 -0.5283125
"530" "WALKING" 1 -0.05990393
"531" "WALKING" 1 0.2780532
"532" "WALKING" 1 0.200241
"533" "WALKING" 1 -0.1896019
"534" "WALKING" 1 0.757524
"535" "WALKING" 1 0.4635618
"536" "WALKING" 1 0.3680525
"537" "WALKING" 1 0.005170587
"538" "WALKING" 1 0.3855962
"539" "WALKING" 1 -0.1837588
"540" "WALKING" 1 0.09573406
"541" "WALKING" 1 0.2624585
"542" "WALKING" 1 -0.1035277
"543" "WALKING" 1 0.2247376
"544" "WALKING" 1 0.771558
"545" "WALKING" 1 -0.1532833
"546" "WALKING" 1 -0.3767776
"547" "WALKING" 1 0.2371332
"548" "WALKING" 1 0.1476199
"549" "WALKING" 1 -0.629043
"550" "WALKING" 1 -0.5398575
"551" "WALKING" 1 0.4718751
"552" "WALKING" 1 -0.6668991
"553" "WALKING" 1 -0.1430325
"554" "WALKING" 1 0.6677243
"555" "WALKING" 1 0.7682638
"556" "WALKING" 1 0.2017338
"557" "WALKING" 1 -0.4430924
"558" "WALKING" 1 -0.6928578
"559" "WALKING" 1 0.05719395
"560" "WALKING" 1 -0.8903193
"561" "WALKING" 1 0.03602676
"562" "WALKING" 1 0.2366359
"563" "WALKING" 1 0.1838842
"564" "WALKING" 1 0.00295529999999999
"565" "WALKING" 1 0.367509
"566" "WALKING" 1 0.930176
"567" "WALKING" 1 -0.4415698
"568" "WALKING" 1 0.2754761
"569" "WALKING" 1 -1.005982
"570" "WALKING" 1 -0.6882497
"571" "WALKING" 1 -0.05730443
"572" "WALKING" 1 0.2789144
"573" "WALKING" 1 -0.1547907
"574" "WALKING" 1 -0.1157207
"575" "WALKING" 1 -0.01588304
"576" "WALKING" 1 -0.1208235
"577" "WALKING" 1 0.1407827
"578" "WALKING" 1 0.2134178
"579" "WALKING" 1 0.2181277
"580" "WALKING" 1 0.2140031
"581" "WALKING" 1 -0.04678115
"582" "WALKING" 1 -0.1047139
"583" "WALKING" 1 -0.1130641
"584" "WALKING" 1 -0.2251568
"585" "WALKING" 1 0.1876184
"586" "WALKING" 1 0.04904006
"587" "WALKING" 1 -0.05319251
"588" "WALKING" 1 -0.03273498
"589" "WALKING" 1 -0.1500687
"590" "WALKING" 1 -0.1692362
"591" "WALKING" 1 0.005019486
"592" "WALKING" 1 -0.3225881
"593" "WALKING" 1 0.1858739
"594" "WALKING" 1 0.239288
"595" "WALKING" 1 0.04736218
"596" "WALKING" 1 -0.1720539
"597" "WALKING" 1 -0.2708872
"598" "WALKING" 1 -0.007523771
"599" "WALKING" 1 0.1719769
"600" "WALKING" 1 0.03405293
"601" "WALKING" 1 -0.04655012
"602" "WALKING" 1 -0.2025619
"603" "WALKING" 1 -0.2220615
"604" "WALKING" 1 0.1715725
"605" "WALKING" 1 -0.2970533
"606" "WALKING" 1 -0.08960867
"607" "WALKING" 1 -0.1791767
"608" "WALKING" 1 -0.3230805
"609" "WALKING" 1 0.1084929
"610" "WALKING" 1 0.1476982
"611" "WALKING" 1 0.0140476
"612" "WALKING" 1 -0.02725281
"613" "WALKING" 1 -0.0366874
"614" "WALKING" 1 -0.04413477
"615" "WALKING" 1 -0.2484788
"616" "WALKING" 1 -0.2172738
"617" "WALKING" 1 -0.09631249
"618" "WALKING" 1 0.08055082
"619" "WALKING" 1 -0.007462977
"620" "WALKING" 1 0.08698777
"621" "WALKING" 1 -0.04487978
"622" "WALKING" 1 -0.1907589
"623" "WALKING" 1 -0.2194542
"624" "WALKING" 1 -0.1005915
"625" "WALKING" 1 -0.2339458
"626" "WALKING" 1 -0.1661478
"627" "WALKING" 1 -0.1586413
"628" "WALKING" 1 -0.1793539
"629" "WALKING" 1 -0.2457628
"630" "WALKING" 1 0.1224312
"631" "WALKING" 1 0.05750581
"632" "WALKING" 1 0.2120075
"633" "WALKING" 1 -0.00229599
"634" "WALKING" 1 -0.06165622
"635" "WALKING" 1 -0.2085484
"636" "WALKING" 1 -0.1756182
"637" "WALKING" 1 -0.2061597
"638" "WALKING" 1 -0.3107804
"639" "WALKING" 1 -0.01507739
"640" "WALKING" 1 -0.1250215
"641" "WALKING" 1 0.05941987
"642" "WALKING" 1 0.03703802
"643" "WALKING" 1 -0.2652543
"644" "WALKING" 1 -0.2562999
"645" "WALKING" 1 -0.2154816
"646" "WALKING" 1 -0.1802768
"647" "WALKING" 1 -0.0880402
"648" "WALKING" 1 -0.1613388
"649" "WALKING" 1 -0.1992543
"650" "WALKING" 1 -0.04880679
"651" "WALKING" 1 0.04517588
"652" "WALKING" 1 0.03199433
"653" "WALKING" 1 0.01035917
"654" "WALKING" 1 -0.1425249
"655" "WALKING" 1 -0.1957092
"656" "WALKING" 1 -0.1441894
"657" "WALKING" 1 -0.1583834
"658" "WALKING" 1 -0.0882819
"659" "WALKING" 1 -0.2339186
"660" "WALKING" 1 -0.1170531
"661" "WALKING" 1 -0.008926569
"662" "WALKING" 1 0.06098784
"663" "WALKING" 1 0.03472294
"664" "WALKING" 1 0.05682098
"665" "WALKING" 1 -0.1102552
"666" "WALKING" 1 -0.01594575
"667" "WALKING" 1 0.3323605
"668" "WALKING" 1 -0.1190291
"669" "WALKING" 1 -0.08274996
"670" "WALKING" 1 0.009760776
"671" "WALKING" 1 -0.08647221
"672" "WALKING" 1 0.1694262
"673" "WALKING" 1 0.2468526
"674" "WALKING" 1 0.2912547
"675" "WALKING" 1 0.2215614
"676" "WALKING" 1 0.01095723
"677" "WALKING" 1 -0.06858823
"678" "WALKING" 1 -0.08799722
"679" "WALKING" 1 -0.1842955
"680" "WALKING" 1 0.2261607
"681" "WALKING" 1 0.08859692
"682" "WALKING" 1 -0.0143556
"683" "WALKING" 1 0.002294509
"684" "WALKING" 1 -0.1265771
"685" "WALKING" 1 -0.1464146
"686" "WALKING" 1 -0.01469593
"687" "WALKING" 1 -0.3025434
"688" "WALKING" 1 0.2368648
"689" "WALKING" 1 0.2815162
"690" "WALKING" 1 0.084124
"691" "WALKING" 1 -0.1397851
"692" "WALKING" 1 -0.2418799
"693" "WALKING" 1 0.01801727
"694" "WALKING" 1 0.1944502
"695" "WALKING" 1 0.0631274
"696" "WALKING" 1 -0.01487467
"697" "WALKING" 1 -0.173709
"698" "WALKING" 1 -0.1864779
"699" "WALKING" 1 0.1977162
"700" "WALKING" 1 -0.2469887
"701" "WALKING" 1 -0.03627351
"702" "WALKING" 1 -0.1452547
"703" "WALKING" 1 -0.2922603
"704" "WALKING" 1 0.1328914
"705" "WALKING" 1 0.1747201
"706" "WALKING" 1 0.03823168
"707" "WALKING" 1 -0.002968217
"708" "WALKING" 1 -0.01006684
"709" "WALKING" 1 -0.02835528
"710" "WALKING" 1 -0.2389846
"711" "WALKING" 1 -0.1882433
"712" "WALKING" 1 -0.06607781
"713" "WALKING" 1 0.2294328
"714" "WALKING" 1 0.1141485
"715" "WALKING" 1 0.2092608
"716" "WALKING" 1 0.07808843
"717" "WALKING" 1 -0.07102391
"718" "WALKING" 1 -0.1160276
"719" "WALKING" 1 0.004652919
"720" "WALKING" 1 -0.1209406
"721" "WALKING" 1 -0.1243143
"722" "WALKING" 1 -0.07361811
"723" "WALKING" 1 -0.06217314
"724" "WALKING" 1 -0.14281
"725" "WALKING" 1 0.2297761
"726" "WALKING" 1 0.1842574
"727" "WALKING" 1 0.3279658
"728" "WALKING" 1 0.1004063
"729" "WALKING" 1 0.03849125
"730" "WALKING" 1 -0.1085108
"731" "WALKING" 1 -0.06589916
"732" "WALKING" 1 -0.1029484
"733" "WALKING" 1 -0.199755
"734" "WALKING" 1 0.03799519
"735" "WALKING" 1 0.05048661
"736" "WALKING" 1 0.2243628
"737" "WALKING" 1 0.1597324
"738" "WALKING" 1 -0.1279799
"739" "WALKING" 1 -0.1274304
"740" "WALKING" 1 -0.1041926
"741" "WALKING" 1 -0.0662925
"742" "WALKING" 1 0.02051735
"743" "WALKING" 1 -0.06738022
"744" "WALKING" 1 -0.1045351
"745" "WALKING" 1 0.04719412
"746" "WALKING" 1 0.1480123
"747" "WALKING" 1 0.09987578
"748" "WALKING" 1 0.08796565
"749" "WALKING" 1 -0.007769393
"750" "WALKING" 1 -0.07698399
"751" "WALKING" 1 -0.03814288
"752" "WALKING" 1 -0.05723831
"753" "WALKING" 1 0.02583098
"754" "WALKING" 1 -0.1229834
"755" "WALKING" 1 -0.02222828
"756" "WALKING" 1 0.08354903
"757" "WALKING" 1 0.1698356
"758" "WALKING" 1 0.1559752
"759" "WALKING" 1 0.1855881
